task,acc@IoU_0.5,acc@IoU_0.5_ci_lower,acc@IoU_0.5_ci_upper,accuracy,accuracy_ci_lower,accuracy_ci_upper,avg_amber_cosine,avg_amber_cosine_ci_lower,avg_amber_cosine_ci_upper,avg_amber_cosine_penalized,avg_clip_delta,avg_clip_iou_weighted,avg_clip_iou_weighted_ci_lower,avg_clip_iou_weighted_ci_upper,avg_clip_localization_gain,avg_clip_score_full_img,avg_clip_score_pred_bbox,avg_clip_score_target_expr,avg_iou_times_gt_clip,avg_iou_weighted_clip_delta,avg_latency_sec,balanced_accuracy_macro,boh_false_grounding,boh_hallucination_rate,decision_balanced_accuracy_macro,f1,f1_ci_lower,f1_ci_upper,false_grounding_on_neg,false_grounding_on_neg_ci_lower,false_grounding_on_neg_ci_upper,fn,fp,hallucination_rate (HR),hallucination_rate (HR)_ci_lower,hallucination_rate (HR)_ci_upper,macro_false_grounding,macro_hallucination_rate,mean_iou,mean_iou_all,mean_iou_all_ci_lower,mean_iou_all_ci_upper,mean_iou_ci_lower,mean_iou_ci_upper,mean_iou_valid_only,num_negative,num_positive,num_queries,over_refusal_rate (FNR),over_refusal_rate (FNR)_ci_lower,over_refusal_rate (FNR)_ci_upper,parse_failures,precision,recall,roh_false_grounding,roh_hallucination_rate,roh_minus_boh_error_gap,target_coverage,tn,tp,valid_bbox_rate,vqa_accuracy,vqa_accuracy_ci_lower,vqa_accuracy_ci_upper,vqa_f1,vqa_fn,vqa_fp,vqa_precision,vqa_recall,vqa_tn,vqa_tp
t1_discriminative_vqa,,,,0.7896,0.7716,0.8056,,,,,,,,,,,,,,,0.1651193419456482,0.80925,,0.118,,0.6154970760233918,0.5841816758026624,0.6446164672765659,,,,79,447,0.2235,0.20578200273233538,0.2422781633007483,,0.22349999999999998,,,,,,,,,,2500,0.158,0.1286522063728175,0.1925630327023204,0,0.48502304147465436,0.842,,0.32899999999999996,0.21099999999999997,,1553,421,,,,,,,,,,,
t2_vqa_grounding,0.51,0.4662728891685752,0.5535746184608068,,,,,,,,,,,,,,,,,,0.40381538972854614,,0.19999999999999998,,0.7955000000000001,,,,0.345,0.3244810789147785,0.3661132275413804,,,,,,0.345,,,0.4874862257165391,0.45156240666364,0.5242089739271906,,,0.5208186172185246,2000,500,,,,,0,,,0.49,,0.29000000000000004,,,,0.936,0.7112,0.6931210094804093,0.7286309096505773,0.5645355850422196,,,0.40414507772020725,0.936,,
t4_caption_grounding,0.516,0.4722406641485616,0.5595153480584495,,,,0.42556147658244864,0.4175639616233564,0.43321389616485795,0.3587023564450064,,0.0,0.0,0.0,,,,,,,1.263587899017334,,,0.195,0.80275,,,,,,,,,0.3385,0.3180883085315592,0.3595309204534065,,0.3385,0.5207809759123745,,,,0.4860473239175666,0.5552308880691443,,2000,500,,0.056,0.03902536261505807,0.07974529864038413,,,,,0.482,0.287,0.5749333333333329,,,0.944,0.718,0.7000369352438268,0.7352941176470588,0.572468162522741,28,677,0.41079199303742386,0.944,1323,472
